wave_peak	wave_base	wave_top	note
481.34764	481.33058	481.36377	Co 1
481.39717	481.38431	481.41157	Co 1
486.78695	486.76925	486.80506	Co 1
517.60760	517.58910	517.63589	Co 1
521.26878	521.25158	521.28772	Co 1
528.06258	528.05053	528.07979	Co 1
528.75543	528.73850	528.76716	Co 1
530.10410	530.09112	530.12481	Co 1
532.52737	532.51283	532.54050	Co 1
533.14532	533.12347	533.16685	Co 1
534.27006	534.25519	534.28500	Co 1
535.20397	535.18529	535.22519	Co 1
535.91995	535.90398	535.93770	Co 1
536.95889	536.94128	536.97930	Co 1
538.17703	538.15507	538.20366	Co 1
548.33535	548.32000	548.35927	Co 1
548.39539	548.37306	548.41639	Co 1
552.32973	552.30773	552.35145	Co 1
553.07752	553.05869	553.10374	Co 1
559.07380	559.05099	559.10107	Co 1
564.72338	564.69597	564.75196	Co 1
591.55496	591.53333	591.57720	Co 1
600.50264	600.48250	600.52403	Co 1
609.31407	609.29565	609.33803	Co 1
611.69902	611.67701	611.72018	Co 1
618.89963	618.87800	618.92033	Co 1
642.98966	642.97015	643.01338	Co 1
645.49943	645.47421	645.52724	Co 1
649.03281	649.00119	649.05652	Co 1
663.24394	663.22000	663.26775	Co 1
677.10343	677.00343	677.20343	Co 1
681.49437	681.39437	681.59437	Co 1
