wave_base	wave_top
481.24933	481.72187
484.97918	488.03864
514.39148	519.81841
521.17981	521.72905
526.03835	528.86123
530.00466	531.00585
532.20432	534.54232
535.12304	535.28394
536.56031	537.59319
537.86155	538.82997
545.72375	549.02222
552.26080	553.16237
555.79057	559.74203
564.31696	565.15617
591.26673	591.75654
600.10881	601.07199
609.18740	609.52501
610.92835	611.78954
617.32575	620.23472
642.85104	643.61150
644.59131	646.87900
648.90366	649.25193
662.90219	663.31881
676.70343	677.50343
681.09437	681.89437
535.82807	536.11487
