wave_peak	wave_base	wave_top	note
480.10247	480.08500	480.12166	Cr 1
484.82350	484.80100	484.83300	Cr 2
488.46070	488.43600	488.47100	Cr 2
488.57701	488.56000	488.58800	Cr 1
488.59530	488.58800	488.61000	Cr 1
493.63360	493.60800	493.65800	Cr 1
495.37170	495.34900	495.38800	Cr 1
495.48060	495.46700	495.50200	Cr 1
496.49275	496.48100	496.50800	Cr 1
509.73110	509.72100	509.73754	Cr 2
520.01730	519.99795	520.02800	Cr 1
520.45110	520.42897	520.48644	Cr 1
520.60370	520.58300	520.64200	Cr 1
520.84250	520.82021	520.87900	Cr 1
521.41314	521.39700	521.43500	Cr 1
522.08920	522.06700	522.09540	Cr 1
523.73285	523.71100	523.74728	Cr 2
523.89610	523.87900	523.91900	Cr 1
524.14590	524.12600	524.17000	Cr 1
524.33540	524.32000	524.35700	Cr 1
524.67680	524.66928	524.68400	Cr 2
524.75650	524.74000	524.77600	Cr 1
524.94370	524.92900	524.94894	Cr 2
527.20000	527.18000	527.21500	Cr 1
527.98758	527.97600	527.99700	Cr 2
528.71780	528.69100	528.73800	Cr 1
529.66910	529.64907	529.70100	Cr 1
529.80165	529.77300	529.81300	Cr 1
529.82720	529.81300	529.84334	Cr 1
530.07450	530.05200	530.09100	Cr 1
530.41800	530.40512	530.44000	Cr 1
530.58526	530.56500	530.60800	Cr 2
531.06864	531.05700	531.08357	Cr 2
531.28560	531.27200	531.30300	Cr 1
531.35628	531.34200	531.36895	Cr 2
531.87710	531.86385	531.89300	Cr 1
532.91381	532.89300	532.94700	Cr 1
534.04470	534.03100	534.05600	Cr 1
534.47570	534.46300	534.49600	Cr 1
534.57960	534.55677	534.60513	Cr 1
534.83150	534.81102	534.86200	Cr 1
536.93560	536.92216	536.94190	Cr 2
540.97840	540.96446	541.02600	Cr 1
542.09220	542.07000	542.10200	Cr 2
548.05065	548.02700	548.06300	Cr 1
550.20669	550.19100	550.22916	Cr 2
562.86430	562.84900	562.88900	Cr 1
564.23582	564.22100	564.24800	Cr 1
564.82615	564.80600	564.83800	Cr 1
570.23060	570.21100	570.24900	Cr 1
571.98160	571.95300	572.00200	Cr 1
578.11670	578.10300	578.13830	Cr 1
578.30635	578.27700	578.33300	Cr 1
578.49690	578.48200	578.51300	Cr 1
578.79180	578.76700	578.81900	Cr 1
578.83820	578.81900	578.84953	Cr 1
583.86690	583.85400	583.88600	Cr 1
584.45950	584.44100	584.47900	Cr 1
586.34488	586.32700	586.35900	Cr 1
598.28738	598.27100	598.30900	Cr 1
612.92260	612.90757	612.93500	Cr 2
633.00910	632.96200	633.04500	Cr 1
650.11850	650.09600	650.14400	Cr 1
653.79212	653.76500	653.82000	Cr 1
663.00109	662.95200	663.03100	Cr 1
666.10752	666.08700	666.12300	Cr 1
666.92814	666.90900	666.95800	Cr 1
