wave_base	wave_top
480.01880	480.25674
484.50100	485.13300
492.98941	494.76924
495.06404	495.57653
496.34219	496.90379
509.24694	509.89769
519.68800	521.59506
521.86446	522.29454
523.57301	524.00679
527.06194	527.51500
527.62776	528.12479
528.56075	528.80425
529.32400	530.18443
532.15456	533.56473
533.73100	535.16200
536.66850	536.97876
540.78224	541.32600
541.85198	542.40200
547.89306	548.36300
549.96716	550.37410
562.70392	563.12514
563.92100	565.19585
570.04881	570.52166
571.80533	572.20041
577.80300	578.37248
583.59682	584.77900
586.02700	586.65900
597.97100	598.60900
612.81746	613.16849
632.66200	633.26942
649.79600	650.44400
653.46500	654.04085
662.65200	663.33100
665.78700	666.42300
666.79504	667.19533
488.20136	489.59844
530.25466	530.76621
530.90468	531.46665
531.75387	532.07148
524.04897	524.48818
524.51052	525.04651
578.43046	579.08033
