wave_peak	wave_base	wave_top	note
481.19829	481.16900	481.21300	Ni 1
481.45910	481.44800	481.47800	Ni 1
482.90231	482.88300	482.92000	Ni 1
487.34380	487.33300	487.36200	Ni 1
490.44118	490.41200	490.46800	Ni 1
491.20180	491.19000	491.22639	Ni 1
491.39730	491.38100	491.42000	Ni 1
491.83640	491.81700	491.85300	Ni 1
493.58305	493.55600	493.60397	Ni 1
494.60317	494.58400	494.61800	Ni 1
495.32000	495.29917	495.34364	Ni 1
497.61300	497.59600	497.62300	Ni 1
497.63255	497.62300	497.64989	Ni 1
497.66968	497.65490	497.68100	Ni 1
499.56503	499.55300	499.57900	Ni 1
500.37407	500.35700	500.39000	Ni 1
501.09381	501.06900	501.11300	Ni 1
503.27271	503.25200	503.29100	Ni 1
503.53570	503.50600	503.55900	Ni 1
508.11103	508.08400	508.14100	Ni 1
508.40957	508.39200	508.43149	Ni 1
509.44107	509.42300	509.46571	Ni 1
513.70738	513.69000	513.72300	Ni 1
515.51259	515.49400	515.53222	Ni 1
515.57639	515.55900	515.59400	Ni 1
515.79760	515.78600	515.81427	Ni 1
517.65603	517.63400	517.67200	Ni 1
534.77080	534.76000	534.78700	Ni 1
539.23309	539.21600	539.25300	Ni 1
542.45361	542.44200	542.46250	Ni 1
542.46450	542.46250	542.49400	Ni 1
543.58576	543.55600	543.60600	Ni 1
546.24931	546.22000	546.27100	Ni 1
546.81039	546.79400	546.82600	Ni 1
547.54294	547.52146	547.55800	Ni 1
547.69035	547.67200	547.72000	Ni 1
557.87183	557.85000	557.89400	Ni 1
558.78578	558.77200	558.80500	Ni 1
558.93580	558.91700	558.96100	Ni 1
559.37355	559.35100	559.39400	Ni 1
562.53168	562.51000	562.54800	Ni 1
562.83417	562.81300	562.84900	Ni 1
563.87467	563.85600	563.89300	Ni 1
564.18809	564.16600	564.20800	Ni 1
564.30780	564.29200	564.32800	Ni 1
568.21987	568.19000	568.23700	Ni 1
569.49833	569.48500	569.52000	Ni 1
570.95448	570.94700	570.97900	Ni 1
574.83507	574.81600	574.85800	Ni 1
576.08298	576.05957	576.10583	Ni 1
580.52166	580.49543	580.54463	Ni 1
584.69935	584.67700	584.72200	Ni 1
599.67301	599.64400	599.70300	Ni 1
600.73098	600.70100	600.75100	Ni 1
602.57539	602.55587	602.59464	Ni 1
608.62815	608.59900	608.65400	Ni 1
610.81158	610.78200	610.83900	Ni 1
611.10703	611.08600	611.13700	Ni 1
612.89731	612.87100	612.91500	Ni 1
613.01348	612.99100	613.04300	Ni 1
613.39626	613.37000	613.42600	Ni 1
617.53665	617.51700	617.56400	Ni 1
617.68070	617.65100	617.70700	Ni 1
617.72415	617.70700	617.74400	Ni 1
618.67109	618.64900	618.70000	Ni 1
619.11783	619.08800	619.13500	Ni 1
620.46000	620.43303	620.49000	Ni 1
622.39810	622.36900	622.42500	Ni 1
623.00889	622.97900	623.02900	Ni 1
632.21656	632.18700	632.23800	Ni 1
632.75985	632.73400	632.78800	Ni 1
637.03458	637.01200	637.06400	Ni 1
637.82470	637.80300	637.84800	Ni 1
638.46617	638.43700	638.49600	Ni 1
641.45810	641.44100	641.47500	Ni 1
642.48515	642.45800	642.51400	Ni 1
648.27983	648.25000	648.30400	Ni 1
653.28730	653.26100	653.30800	Ni 1
658.63098	658.60600	658.65400	Ni 1
659.85978	659.83800	659.88900	Ni 1
663.51224	663.48300	663.53900	Ni 1
664.36303	664.33400	664.39300	Ni 1
676.77720	676.67720	676.87720	Ni 1
677.23149	677.13149	677.33149	Ni 1
684.20367	684.10367	684.30367	Ni 1
877.06777	876.96777	877.16777	Ni 1
