wave_base	wave_top
481.14331	481.70270
482.69808	483.02707
486.96537	487.74094
490.10873	490.57624
491.07809	491.47784
493.11764	494.68962
495.28446	495.39179
497.56310	497.74650
499.29621	500.80744
501.05674	501.14353
503.15458	503.80998
507.43054	508.61485
509.30458	509.79523
513.57528	513.79318
515.26351	515.82269
516.03666	519.09709
534.71621	535.14360
539.01064	539.27061
542.29594	542.60688
542.69502	543.75580
546.19516	546.46972
547.15286	547.81502
557.78868	559.41422
561.27996	564.36043
568.05097	568.52843
570.74651	571.04578
574.52189	575.00232
575.99875	576.57042
584.54462	584.74776
599.62785	600.15838
600.57435	601.04594
602.46976	602.96323
608.54770	608.88077
610.37165	611.26390
612.66965	613.49144
617.38823	617.89186
618.42820	619.33656
632.57517	632.84712
636.75687	637.26088
637.77439	638.00484
641.25136	641.59690
647.66954	648.57456
653.05804	653.60926
658.47821	659.04001
659.81585	659.96292
663.26490	663.77082
664.15873	664.59153
676.37720	677.63149
683.80367	684.60367
876.66777	877.46777
569.40727	569.55260
580.47047	580.56112
620.41860	620.58225
622.20800	622.59076
622.86240	623.45256
632.14648	632.36915
638.32940	638.61776
642.33196	642.77622
491.75159	492.67057
546.66288	546.90508
